PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	TWTB	TVRT	THTA	THTE	THTV
1019.0	0	21.4	17.4	78	12.4	145	11	18.9	23.6	293.0	328.5	295.2
1000.0	167	21.7	11.6	52	8.6	148	19	15.6	23.2	294.8	320.0	296.3
975.0	386	21.0	4.5	34	5.5	148	18	12.0	21.9	296.3	312.5	297.2
950.0	609	19.4	3.5	34	5.2	148	17	10.8	20.3	296.9	312.5	297.8
925.0	838	17.9	4.1	40	5.6	155	14	10.4	18.9	297.6	314.4	298.6
900.0	1071	16.2	5.2	48	6.2	174	11	10.1	17.2	298.1	316.7	299.3
875.0	1310	14.2	6.4	59	6.9	203	10	9.8	15.4	298.5	319.2	299.7
850.0	1554	12.1	7.1	71	7.5	228	11	9.2	13.4	298.8	321.1	300.1
825.0	1803	9.9	7.0	82	7.7	243	13	8.3	11.2	299.0	321.9	300.4
800.0	2058	7.7	6.4	91	7.6	252	14	7.0	9.0	299.3	322.0	300.7
775.0	2320	5.9	4.7	92	7.0	259	13	5.2	7.0	300.1	321.0	301.3
750.0	2587	4.3	3.0	91	6.4	270	11	3.6	5.4	301.2	320.4	302.3
725.0	2863	3.1	1.2	87	5.8	294	8	2.1	4.1	302.8	320.5	303.9
700.0	3147	1.7	-0.3	87	5.4	305	8	0.7	2.6	304.3	320.9	305.3
675.0	3439	0.1	-1.6	88	5.1	309	8	-0.8	0.9	305.7	321.4	306.6
650.0	3742	-1.3	-4.0	82	4.4	307	11	-2.6	-0.6	307.4	321.2	308.2
625.0	4053	-2.8	-6.8	74	3.7	307	14	-4.6	-2.2	309.2	321.0	309.9
600.0	4376	-3.9	-10.4	60	2.9	304	14	-6.6	-3.4	311.5	321.0	312.1
575.0	4711	-5.1	-15.1	45	2.1	302	14	-8.8	-4.8	313.9	320.8	314.2
550.0	5059	-6.1	-20.3	31	1.4	304	13	-10.6	-5.9	316.7	321.6	317.0
525.0	5422	-7.3	-27.7	17	0.7	307	13	-12.8	-7.2	319.5	322.2	319.6
500.0	5800	-9.6	-34.6	11	0.4	312	12	-15.2	-9.6	321.1	322.7	321.2
475.0	6194	-12.4	-39.8	8	0.3	312	11	-17.6	-12.4	322.5	323.5	322.5
450.0	6603	-15.6	-35.9	15	0.4	301	10	-19.7	-15.6	323.4	324.9	323.5
425.0	7032	-18.6	-36.6	19	0.4	290	12	-22.1	-18.6	324.9	326.4	325.0
400.0	7481	-21.7	-40.3	16	0.3	286	14	-24.8	-21.7	326.6	327.7	326.7
375.0	7952	-25.0	-48.9	8	0.1	287	18	-28.0	-24.9	328.4	328.9	328.4
350.0	8449	-28.7	-53.6	7	0.1	290	23	-31.3	-28.7	329.8	330.1	329.9
325.0	8975	-32.8	-59.7	5	0.0	293	23	-35.1	-32.8	331.2	331.4	331.2
300.0	9532	-37.4	-61.4	6	0.0	296	20	-39.1	-37.4	332.4	332.6	332.4
275.0	10127	-42.3	-64.6	6	0.0	308	22	-43.6	-42.3	333.6	333.7	333.6
250.0	10762	-47.7	-66.6	9	0.0	318	26	-48.6	-47.7	334.9	334.9	334.9
225.0	11449	-53.4	-67.8	15	0.0	312	29	-54.0	-53.4	336.4	336.5	336.4
200.0	12195	-59.5	-68.3	30	0.0	308	29	-59.9	-59.5	338.2	338.3	338.2
175.0	13018	-65.3	-70.4	49	0.0	309	30	-65.5	-65.3	341.9	341.9	341.9
150.0	13942	-70.8	-75.5	50	0.0	323	34	-71.0	-70.8	347.7	347.7	347.7
125.0	15031	-66.1	-78.4	16	0.0	297	42	-66.5	-66.1	374.7	374.8	374.7
100.0	16401	-61.8	-87.7	1	0.0	295	38	-62.5	-61.8	407.7	407.7	407.7
