PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	TWTB	TVRT	THTA	THTE	THTV
841.0	1554	11.7	-1.1	41	4.2	57	2	5.4	12.5	299.3	312.2	300.1
825.0	1717	14.6	-0.8	34	4.4	216	18	6.6	15.4	304.0	317.6	304.8
800.0	1976	13.6	-2.7	32	3.9	220	34	5.4	14.3	305.6	318.0	306.3
775.0	2243	13.2	-6.2	25	3.1	223	45	3.9	13.7	307.9	318.0	308.5
750.0	2517	12.2	-10.0	20	2.4	227	46	2.4	12.6	309.8	317.7	310.2
725.0	2800	10.9	-12.0	18	2.1	231	46	1.1	11.2	311.3	318.4	311.7
700.0	3091	9.2	-12.1	20	2.2	235	46	0.1	9.6	312.6	319.9	313.0
675.0	3391	7.2	-12.0	24	2.3	236	46	-0.9	7.6	313.7	321.3	314.1
650.0	3700	5.0	-12.0	28	2.4	237	46	-2.1	5.4	314.6	322.5	315.0
625.0	4018	2.5	-12.6	31	2.3	237	46	-3.7	2.9	315.3	323.1	315.7
600.0	4346	-0.1	-13.7	35	2.2	237	45	-5.5	0.3	315.9	323.4	316.3
575.0	4685	-2.8	-15.1	38	2.1	237	44	-7.5	-2.5	316.6	323.6	317.0
550.0	5035	-5.6	-17.0	40	1.8	236	44	-9.6	-5.3	317.3	323.6	317.6
525.0	5398	-8.4	-19.2	41	1.6	235	44	-11.9	-8.1	318.2	323.7	318.5
500.0	5774	-11.3	-22.1	40	1.3	233	44	-14.5	-11.1	319.2	323.8	319.4
475.0	6165	-14.1	-25.5	37	1.0	230	45	-17.1	-13.9	320.4	324.0	320.6
450.0	6573	-17.0	-29.6	32	0.7	227	47	-19.9	-16.8	321.8	324.4	321.9
425.0	6999	-19.8	-34.0	27	0.5	224	50	-22.6	-19.8	323.4	325.3	323.5
400.0	7447	-22.8	-38.0	23	0.4	222	54	-25.4	-22.7	325.2	326.6	325.3
375.0	7917	-25.9	-41.2	22	0.3	221	58	-28.2	-25.9	327.1	328.2	327.2
350.0	8413	-29.3	-43.7	23	0.2	221	62	-31.2	-29.2	329.1	330.0	329.1
325.0	8937	-33.0	-45.2	28	0.2	221	65	-34.5	-32.9	331.0	331.9	331.1
300.0	9495	-37.4	-44.3	48	0.2	221	69	-38.2	-37.4	332.4	333.4	332.5
275.0	10089	-42.5	-46.5	65	0.2	220	72	-43.0	-42.5	333.4	334.2	333.4
250.0	10725	-47.6	-52.4	58	0.1	219	78	-48.1	-47.6	335.0	335.4	335.0
225.0	11414	-51.1	-61.0	29	0.0	225	83	-51.7	-51.1	339.9	340.1	339.9
200.0	12177	-51.3	-74.2	4	0.0	234	85	-52.2	-51.3	351.1	351.2	351.1
175.0	13041	-53.6	-79.4	2	0.0	241	81	-54.5	-53.6	361.0	361.0	361.0
150.0	14017	-59.9	-83.4	3	0.0	241	76	-60.5	-59.9	366.5	366.5	366.5
125.0	15134	-67.3	-83.6	8	0.0	242	72	-67.7	-67.3	372.6	372.6	372.6
100.0	16456	-72.7	-85.7	12	0.0	247	61	-73.0	-72.7	386.7	386.7	386.7
