PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	TWTB	TVRT	THTA	THTE	THTV
978.0	92	0.4	-1.0	90	3.6	250	12	-0.1	1.0	275.3	285.4	275.9
975.0	115	0.5	-1.0	89	3.7	253	15	-0.1	1.1	275.6	285.8	276.2
950.0	323	-1.2	-1.4	98	3.6	257	26	-1.3	-0.6	275.9	286.1	276.6
925.0	535	-2.5	-2.6	99	3.4	264	32	-2.5	-2.0	276.7	286.3	277.3
900.0	752	-3.7	-3.7	99	3.2	271	34	-3.7	-3.2	277.7	286.8	278.2
875.0	974	-4.9	-5.0	99	3.0	275	32	-4.9	-4.4	278.7	287.3	279.2
850.0	1202	-6.1	-6.3	99	2.8	271	29	-6.2	-5.7	279.7	287.8	280.2
825.0	1435	-6.5	-6.7	98	2.8	261	28	-6.6	-6.0	281.7	289.9	282.2
800.0	1676	-4.9	-5.3	97	3.2	251	27	-5.1	-4.4	285.9	295.4	286.5
775.0	1926	-3.6	-5.8	84	3.2	241	28	-4.4	-3.1	289.9	299.5	290.5
750.0	2185	-4.1	-7.2	79	3.0	236	29	-5.3	-3.7	292.0	301.1	292.5
725.0	2452	-5.8	-8.9	78	2.7	232	30	-6.9	-5.3	293.1	301.3	293.6
700.0	2726	-8.2	-10.6	82	2.4	231	30	-9.0	-7.8	293.3	300.8	293.8
675.0	3007	-10.7	-13.0	83	2.1	231	28	-11.4	-10.4	293.6	300.1	294.0
650.0	3295	-13.2	-15.6	82	1.8	231	27	-13.9	-12.9	293.9	299.4	294.3
625.0	3593	-15.4	-18.0	80	1.5	229	26	-16.1	-15.2	294.8	299.5	295.0
600.0	3900	-17.6	-20.5	78	1.2	227	25	-18.4	-17.5	295.6	299.6	295.8
575.0	4216	-20.0	-23.3	75	1.0	224	26	-20.7	-19.9	296.4	299.8	296.6
550.0	4544	-22.6	-26.4	70	0.8	222	26	-23.3	-22.5	297.2	299.9	297.3
525.0	4883	-25.4	-30.1	64	0.6	221	27	-26.2	-25.3	297.8	299.8	297.9
500.0	5236	-28.0	-34.3	54	0.4	220	29	-28.9	-28.0	298.7	300.2	298.8
475.0	5601	-30.8	-40.1	39	0.2	220	31	-31.8	-30.7	299.8	300.6	299.8
450.0	5983	-33.1	-47.0	23	0.1	219	35	-34.4	-33.1	301.5	302.0	301.5
425.0	6383	-35.1	-55.0	11	0.1	219	39	-36.6	-35.1	303.8	304.0	303.8
400.0	6803	-37.1	-61.6	6	0.0	218	42	-38.6	-37.1	306.5	306.6	306.5
375.0	7246	-39.3	-62.8	6	0.0	218	45	-40.6	-39.3	309.4	309.5	309.4
350.0	7716	-41.6	-63.8	7	0.0	218	46	-42.8	-41.6	312.4	312.5	312.4
325.0	8216	-43.3	-65.5	6	0.0	220	45	-44.4	-43.3	316.8	316.9	316.8
300.0	8753	-44.1	-67.4	5	0.0	220	43	-45.2	-44.1	323.0	323.0	323.0
275.0	9337	-44.0	-69.7	4	0.0	217	43	-45.2	-44.0	331.3	331.3	331.3
250.0	9976	-43.9	-72.9	2	0.0	219	46	-45.2	-43.9	340.5	340.6	340.5
225.0	10683	-44.1	-77.5	1	0.0	231	42	-45.5	-44.1	350.6	350.6	350.6
200.0	11470	-45.3	-82.6	0	0.0	246	39	-46.8	-45.3	360.6	360.6	360.6
175.0	12357	-47.3	-85.2	0	0.0	258	37	-48.7	-47.3	371.4	371.4	371.4
150.0	13369	-49.8	-86.9	0	0.0	263	37	-51.2	-49.8	383.8	383.8	383.8
125.0	14557	-51.1	-86.4	0	0.0	269	40	-52.4	-51.1	402.0	402.0	402.0
100.0	16004	-52.2	-85.3	0	0.0	281	35	-53.6	-52.2	426.3	426.3	426.3
