PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	TWTB	TVRT	THTA	THTE	THTV
826.0	1780	12.4	0.8	45	4.9	123	4	6.3	13.2	301.5	316.6	302.4
825.0	1786	17.1	1.2	34	5.1	58	2	8.3	18.0	306.6	322.5	307.6
800.0	2048	16.6	-0.8	30	4.5	345	1	7.3	17.4	308.8	323.2	309.7
775.0	2318	15.7	-3.5	26	3.8	290	4	5.8	16.3	310.6	323.0	311.3
750.0	2595	14.5	-6.1	23	3.2	268	5	4.4	15.1	312.3	322.9	312.9
725.0	2880	13.1	-8.7	21	2.8	249	6	2.9	13.6	313.8	322.9	314.3
700.0	3173	11.4	-11.1	19	2.4	231	6	1.4	11.8	315.1	323.0	315.5
675.0	3476	9.7	-13.6	17	2.0	221	7	-0.1	10.1	316.5	323.3	316.8
650.0	3787	7.8	-16.7	15	1.6	223	7	-1.8	8.1	317.7	323.3	318.0
625.0	4109	5.9	-20.3	13	1.2	241	7	-3.6	6.1	319.1	323.4	319.4
600.0	4441	4.1	-24.0	10	0.9	275	7	-5.2	4.3	320.8	324.1	320.9
575.0	4786	2.2	-26.2	10	0.8	302	10	-6.7	2.3	322.4	325.3	322.6
550.0	5142	0.1	-26.7	11	0.8	320	13	-8.1	0.2	324.1	327.0	324.2
525.0	5513	-2.3	-26.6	13	0.8	328	16	-9.6	-2.2	325.5	328.6	325.7
500.0	5898	-5.1	-27.3	15	0.8	329	18	-11.5	-5.0	326.7	329.7	326.9
475.0	6298	-8.1	-29.2	16	0.7	323	20	-13.7	-8.0	327.8	330.5	328.0
450.0	6715	-11.1	-32.4	15	0.6	314	20	-16.3	-11.1	329.1	331.2	329.2
425.0	7151	-14.6	-36.0	14	0.4	307	18	-19.1	-14.5	330.1	331.7	330.2
400.0	7606	-18.3	-39.0	14	0.3	304	14	-22.1	-18.2	331.1	332.4	331.1
375.0	8084	-22.3	-41.5	15	0.3	309	9	-25.4	-22.2	331.9	333.0	332.0
350.0	8586	-26.4	-44.7	16	0.2	328	8	-29.0	-26.4	333.0	333.8	333.0
325.0	9116	-30.8	-48.5	15	0.1	344	9	-32.9	-30.8	334.0	334.6	334.0
300.0	9678	-35.6	-51.1	18	0.1	349	10	-37.2	-35.6	335.0	335.5	335.0
275.0	10276	-41.0	-53.7	23	0.1	341	11	-42.0	-40.9	335.6	336.0	335.6
250.0	10915	-46.1	-57.4	26	0.1	321	16	-46.9	-46.1	337.2	337.5	337.2
225.0	11610	-49.5	-63.9	16	0.0	314	28	-50.2	-49.5	342.4	342.5	342.4
200.0	12375	-52.6	-68.5	12	0.0	309	34	-53.3	-52.6	349.2	349.2	349.2
175.0	13228	-57.3	-73.7	10	0.0	297	29	-57.8	-57.3	355.0	355.1	355.0
150.0	14187	-63.6	-77.6	13	0.0	276	25	-64.0	-63.6	360.0	360.1	360.0
125.0	15286	-70.7	-81.4	19	0.0	272	27	-71.0	-70.7	366.5	366.5	366.5
100.0	16586	-76.5	-85.0	24	0.0	289	23	-76.7	-76.5	379.5	379.5	379.5
