PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	TWTB	TVRT	THTA	THTE	THTV
1004.0	105	31.0	20.0	52	14.9	45	6	23.4	33.8	303.8	348.4	306.6
1000.0	147	29.3	19.2	54	14.2	34	5	22.4	31.9	302.4	344.6	305.0
975.0	374	26.9	18.8	61	14.2	33	5	21.4	29.4	302.2	344.5	304.8
950.0	603	24.5	18.4	68	14.2	37	5	20.4	27.1	302.1	344.3	304.7
925.0	836	22.2	18.3	78	14.6	40	4	19.6	24.8	302.0	345.2	304.7
900.0	1074	20.2	17.8	86	14.4	43	2	18.5	22.7	302.3	345.1	304.9
875.0	1317	18.1	16.5	90	13.7	232	0	17.0	20.5	302.6	343.2	305.0
850.0	1565	16.2	14.8	91	12.6	213	2	15.3	18.4	303.0	340.6	305.3
825.0	1819	14.3	12.7	90	11.4	207	4	13.3	16.2	303.7	337.7	305.7
800.0	2079	12.5	10.2	85	9.9	193	7	11.1	14.2	304.5	334.3	306.3
775.0	2345	10.9	7.4	79	8.4	182	8	8.8	12.3	305.4	331.1	307.0
750.0	2617	9.4	4.5	71	7.1	174	9	6.5	10.6	306.7	328.5	308.0
725.0	2898	8.2	1.6	63	5.9	179	8	4.5	9.2	308.4	326.9	309.5
700.0	3187	7.2	-2.5	50	4.6	189	7	2.2	7.9	310.4	324.9	311.2
675.0	3486	6.4	-9.1	31	2.8	206	8	-0.6	6.9	312.7	322.1	313.3
650.0	3795	5.5	-15.7	20	1.7	216	7	-2.7	5.8	315.1	321.1	315.5
625.0	4114	4.7	-24.0	10	0.9	227	7	-4.8	4.8	317.7	320.9	317.9
600.0	4446	3.3	-28.6	7	0.6	230	4	-6.2	3.4	319.8	322.1	319.9
575.0	4789	1.8	-32.5	5	0.4	235	1	-7.6	1.9	322.0	323.6	322.1
550.0	5146	0.0	-39.1	3	0.2	232	1	-9.3	0.1	324.0	324.9	324.1
525.0	5516	-1.8	-55.3	0	0.0	232	2	-11.2	-1.8	326.1	326.3	326.1
500.0	5902	-4.4	-42.2	3	0.2	267	4	-12.5	-4.4	327.5	328.3	327.6
475.0	6303	-7.3	-37.7	6	0.3	272	7	-14.2	-7.3	328.7	330.0	328.8
450.0	6720	-10.8	-35.7	10	0.4	267	10	-16.4	-10.8	329.5	331.0	329.5
425.0	7157	-14.3	-36.9	12	0.4	269	14	-19.0	-14.2	330.5	332.0	330.6
400.0	7613	-17.9	-38.3	15	0.4	264	19	-21.8	-17.8	331.5	332.9	331.6
375.0	8091	-21.6	-38.1	20	0.4	253	24	-24.6	-21.5	332.8	334.3	332.9
350.0	8594	-25.5	-37.7	31	0.4	246	27	-27.7	-25.5	334.1	335.8	334.2
325.0	9127	-29.7	-35.2	58	0.6	248	27	-30.7	-29.6	335.5	337.8	335.6
300.0	9693	-33.5	-43.2	37	0.3	262	32	-34.8	-33.4	338.0	339.1	338.0
275.0	10298	-38.0	-57.2	11	0.1	273	47	-39.6	-38.0	340.0	340.2	340.0
250.0	10946	-43.6	-53.9	31	0.1	270	52	-44.5	-43.6	341.0	341.4	341.0
225.0	11644	-50.1	-57.2	42	0.1	257	47	-50.6	-50.1	341.4	341.8	341.5
200.0	12401	-56.7	-62.8	45	0.0	260	50	-57.0	-56.7	342.6	342.8	342.6
175.0	13233	-63.0	-69.1	43	0.0	264	59	-63.3	-63.0	345.6	345.6	345.6
150.0	14172	-66.2	-76.1	23	0.0	258	60	-66.5	-66.2	355.6	355.7	355.6
125.0	15267	-70.1	-82.9	13	0.0	262	50	-70.4	-70.1	367.6	367.6	367.6
100.0	16575	-75.3	-86.1	17	0.0	267	39	-75.6	-75.3	381.7	381.7	381.7
