PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	TWTB	TVRT	THTA	THTE	THTV
789.0	2064	10.0	-12.0	20	1.9	220	12	1.2	10.3	302.9	309.2	303.3
775.0	2208	7.2	-12.3	23	1.9	230	11	-0.3	7.6	301.5	307.8	301.9
750.0	2476	4.9	-13.4	25	1.8	229	13	-1.9	5.2	301.8	307.7	302.1
725.0	2750	2.4	-14.1	28	1.8	229	16	-3.6	2.6	302.0	307.7	302.3
700.0	3032	-0.4	-14.7	33	1.8	231	18	-5.4	-0.1	302.0	307.7	302.3
675.0	3321	-3.2	-15.2	39	1.7	233	21	-7.3	-2.9	302.0	307.6	302.3
650.0	3618	-6.0	-15.6	46	1.8	237	24	-9.1	-5.7	302.1	307.9	302.5
625.0	3923	-8.8	-16.1	55	1.7	240	28	-11.1	-8.5	302.3	308.0	302.6
600.0	4238	-11.4	-17.0	63	1.7	244	33	-13.1	-11.1	302.8	308.4	303.1
575.0	4563	-13.6	-18.3	67	1.6	249	39	-15.0	-13.3	304.0	309.1	304.3
550.0	4900	-15.3	-19.8	68	1.5	254	44	-16.5	-15.0	305.9	310.7	306.1
525.0	5250	-17.0	-21.2	69	1.3	259	49	-18.1	-16.8	307.9	312.4	308.2
500.0	5614	-18.9	-23.1	69	1.2	260	53	-20.0	-18.7	309.9	314.0	310.1
475.0	5995	-21.0	-24.2	75	1.1	260	56	-21.8	-20.8	311.9	315.8	312.1
450.0	6393	-23.1	-25.7	79	1.0	259	59	-23.7	-22.9	314.1	317.7	314.3
425.0	6809	-25.5	-28.2	78	0.9	258	62	-26.1	-25.4	316.1	319.3	316.3
400.0	7246	-28.4	-31.3	76	0.7	257	65	-29.0	-28.3	317.9	320.5	318.0
375.0	7705	-31.8	-34.9	74	0.5	256	69	-32.4	-31.8	319.3	321.2	319.4
350.0	8189	-35.8	-39.0	71	0.4	254	75	-36.3	-35.7	320.3	321.7	320.4
325.0	8699	-40.1	-43.7	68	0.2	254	85	-40.6	-40.1	321.1	322.1	321.2
300.0	9239	-44.7	-48.9	62	0.1	256	93	-45.1	-44.7	322.1	322.7	322.1
275.0	9815	-48.2	-53.9	51	0.1	263	101	-48.6	-48.2	325.2	325.5	325.2
250.0	10440	-50.3	-57.0	44	0.1	268	139	-50.7	-50.3	331.1	331.3	331.1
225.0	11121	-54.5	-60.0	50	0.1	263	162	-54.9	-54.5	334.7	334.9	334.7
200.0	11866	-59.0	-65.5	42	0.0	262	151	-59.3	-59.0	339.1	339.2	339.1
175.0	12701	-58.9	-75.3	10	0.0	266	120	-59.4	-58.9	352.3	352.4	352.3
150.0	13670	-58.3	-84.8	2	0.0	265	94	-58.9	-58.3	369.3	369.3	369.3
125.0	14811	-60.5	-88.0	1	0.0	256	93	-61.1	-60.5	385.0	385.0	385.0
100.0	16186	-64.5	-87.8	2	0.0	261	90	-65.0	-64.5	402.6	402.6	402.6
